geoid	detail	st_fip	cty_fip	trt_fip	state	county	pop_tot	pop_wht	pop_blk	pop_his	pop_asi	pop_two	pop_oth	pop_nat	pop_isl	pop_nw	emp_une	emp_emp	ed_grad	ed_bs	ed_as	ed_hs	ed_l_hs	med_inc
17031070101	Census Tract 701.01, Cook County, Illinois	17	031	070101	Illinois	Cook County	4086	0.8627019089574156	0.015907978463044543	0.01908957415565345	0.059960841899167894	0.04233969652471855	0	0	0	0.1372980910425844	0.03588328075709779	0.9641167192429022	0.3613956466069142	0.4660691421254802	0.009603072983354673	0.14596670934699105	0.01696542893725983	72985
17031070102	Census Tract 701.02, Cook County, Illinois	17	031	070102	Illinois	Cook County	2745	0.7420765027322405	0.05391621129326048	0.11730418943533698	0.06083788706739526	0.020036429872495445	0.002185792349726776	0	0.0036429872495446266	0.25792349726775954	0.02596830985915493	0.9740316901408451	0.29029217719132894	0.4048067860508954	0.04052780395852969	0.23986804901036757	0.024505183788878337	61506
17031070103	Census Tract 701.03, Cook County, Illinois	17	031	070103	Illinois	Cook County	1629	0.8354818907305095	0.047268262737875995	0.0570902394106814	0.06015960712093309	0	0	0	0	0.1645181092694905	0.1	0.9	0.3431952662721893	0.5808678500986193	0.009861932938856016	0.05325443786982249	0.012820512820512775	53008
17031070200	Census Tract 702, Cook County, Illinois	17	031	070200	Illinois	Cook County	4136	0.7920696324951644	0.05367504835589942	0.06334622823984526	0.070357833655706	0.020551257253384914	0	0	0	0.20793036750483562	0.019563090968373	0.980436909031627	0.38	0.41770491803278686	0.030491803278688525	0.1540983606557377	0.017704918032786954	86909
17031070300	Census Tract 703, Cook County, Illinois	17	031	070300	Illinois	Cook County	3426	0.8096906012842966	0.013718622300058377	0.03619381202568593	0.09223584354932866	0.03561004086398132	0.012551079976649154	0	0	0.1903093987157034	0.026217228464419477	0.9737827715355806	0.3563984993747395	0.5439766569403919	0.010004168403501459	0.08962067528136723	-2.220446049250313e-16	96833
17031070400	Census Tract 704, Cook County, Illinois	17	031	070400	Illinois	Cook County	3415	0.8149341142020498	0.05300146412884334	0.0787701317715959	0.04333821376281113	0.009956076134699853	0	0	0	0.18506588579795025	0.026912181303116147	0.9730878186968839	0.27125850340136054	0.44855442176870747	0.011904761904761904	0.14498299319727892	0.12329931972789121	88897
17031070500	Census Tract 705, Cook County, Illinois	17	031	070500	Illinois	Cook County	3137	0.854319413452343	0.0452661778769525	0.05419190309212624	0.02964615875039847	0.01657634682817979	0	0	0	0.14568058654765703	0.02265705458290422	0.9773429454170958	0.36280884265279584	0.35240572171651496	0.011270047680970958	0.20632856523623755	0.06718682271348064	123313
17031070600	Census Tract 706, Cook County, Illinois	17	031	070600	Illinois	Cook County	3218	0.857986326911125	0.01305158483530143	0.10379117464263518	0.019577377252952145	0.005593536357986327	0	0	0	0.14201367308887503	0.05104831358249772	0.9489516864175023	0.38113207547169814	0.5188679245283019	0	0.08254716981132075	0.01745283018867927	147596
17031070700	Census Tract 707, Cook County, Illinois	17	031	070700	Illinois	Cook County	4221	0.6901208244491827	0.05662165363657901	0.1537550343520493	0.0824449182658138	0.017057569296375266	0	0	0	0.30987917555081734	0.032633158289572396	0.9673668417104276	0.34125043660495985	0.42507858889276984	0.009430667132378624	0.16765630457561997	0.05658400279427167	125781
17031071000	Census Tract 710, Cook County, Illinois	17	031	071000	Illinois	Cook County	4116	0.8029640427599611	0.0391156462585034	0.0619533527696793	0.062439261418853254	0.030612244897959183	0.0014577259475218659	0.0014577259475218659	0	0.19703595724003886	0.10091743119266056	0.8990825688073394	0.29045092838196285	0.5603448275862069	0.021220159151193633	0.11538461538461539	0.012599469496021198	100507
17031071100	Census Tract 711, Cook County, Illinois	17	031	071100	Illinois	Cook County	2861	0.8388675288360713	0.03914715134568333	0.04194337644180356	0.035302341838518	0.03460328556448794	0.009087731562390773	0	0.0010485844110450892	0.1611324711639287	0.0476431829700963	0.9523568170299037	0.40584213797389684	0.4897451833436917	0.018645121193287758	0.08576755748912368	0	101250
17031071200	Census Tract 712, Cook County, Illinois	17	031	071200	Illinois	Cook County	2118	0.7700661000944287	0.029745042492917848	0.09631728045325778	0.08687440982058546	0.0169971671388102	0	0	0	0.22993389990557134	0.01862464183381089	0.9813753581661891	0.3468286099865047	0.4041835357624831	0.06477732793522267	0.16464237516869096	0.019568151147098645	98125
17031071300	Census Tract 713, Cook County, Illinois	17	031	071300	Illinois	Cook County	3471	0.8910976663785652	0.019878997407087293	0.014405070584845865	0.05762028233938346	0.014693171996542784	0	0	0.0023048112935753384	0.10890233362143475	0.06797385620915032	0.9320261437908497	0.3798299845440495	0.5722565687789799	0.007341576506955177	0.03902627511591963	0.0015455950540957941	103710
